id;name;lat;lon;cat;subcat;url
202;Cmentarz ewangelicko-augsburski w Słowiku;51.92918;19.35032;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-slowiku/
203;Cmentarz ewangelicko-augsburski w Słotwinach;51.7267;19.84785;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-slotwinach/
204;Cmentarz ewangelicko-augsburski w Skotnikach;51.86036;19.48256;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-skotnikach/
205;Cmentarz ewangelicko-augsburski w Rydzynach;51.62761;19.40692;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rydzynach/
206;Cmentarz ewangelicko-augsburski w Rudunkach;51.87655;19.44463;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rudunkach/
207;Cmentarz ewangelicko-augsburski w Rudzie Bugaj;51.83679;19.27818;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rudzie-bugaj/
208;Cmentarz ewangelicko-augsburski w Rosanowie;51.9099;19.38328;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rosanowie/
209;Cmentarz ewangelicko-augsburski w Romartowie;52.14612;19.25789;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-romartowie/
210;Cmentarz ewangelicko-augsburski w Rokitnicy;51.56988;19.22835;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rokitnicy/
211;Cmentarz ewangelicko-augsburski w Rogowcu;51.27686;19.30645;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rogowcu/
212;Cmentarz ewangelicko-augsburski w Rochowie;52.19897;19.01486;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rochowie/
213;Cmentarz ewangelicko-augsburski w Ręszewie;51.44483;18.71702;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-reszewie/
214;Cmentarz ewangelicko-augsburski w Reksule;51.88725;19.24065;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-reksule/
215;Cmentarz ewangelicko-augsburski w Rąbinku;51.78255;19.29015;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rabinku/
